#separator:tab
#html:false
#deck column:1
#tags column:4
#columns:Deck	Front	Back	Tags
認知脳科学::03_脳の基本的構造	菱脳（後脳・髄脳）に含まれる主要構造は？	小脳・橋（後脳）と延髄（髄脳）	認知脳科学 第03回_脳の基本的構造
認知脳科学::03_脳の基本的構造	神経系は外胚葉からどのような順で発生するか？	外胚葉→神経板→神経管。神経堤は自律神経系の神経節などになる	認知脳科学 第03回_脳の基本的構造
認知脳科学::03_脳の基本的構造	脳は全血流量のどのくらいを消費するか？	約20%（血流が数秒止まると気を失う）	認知脳科学 第03回_脳の基本的構造
認知脳科学::03_脳の基本的構造	大脳皮質の4つの葉を挙げよ。	前頭葉・頭頂葉・側頭葉・後頭葉	認知脳科学 第03回_脳の基本的構造
認知脳科学::03_脳の基本的構造	灰白質と白質はそれぞれ何の集合か？	灰白質＝細胞体の集合、白質＝軸索の集合	認知脳科学 第03回_脳の基本的構造
認知脳科学::03_脳の基本的構造	大脳辺縁系のうち、記憶に関わる構造と情動に関わる構造は？	記憶＝海馬（hippocampus）、情動＝扁桃核（amygdala）	認知脳科学 第03回_脳の基本的構造
認知脳科学::03_脳の基本的構造	尾状核・被殻に投射する中脳ニューロンの変性で生じる疾患は？	パーキンソン病（大脳基底核＝運動制御に関与）	認知脳科学 第03回_脳の基本的構造
認知脳科学::03_脳の基本的構造	視床の外側膝状体・内側膝状体はそれぞれどの感覚を中継するか？	外側膝状体＝視覚（網膜→一次視覚野）、内側膝状体＝聴覚（内耳→一次聴覚野）	認知脳科学 第03回_脳の基本的構造
認知脳科学::03_脳の基本的構造	視床下部が制御する2つの系と代表的なキーワードは？	自律神経系と内分泌系（脳下垂体）。「闘争・食欲・逃避・交尾」	認知脳科学 第03回_脳の基本的構造
認知脳科学::03_脳の基本的構造	中脳蓋（視蓋）の上丘・下丘はそれぞれ何の系か？	上丘＝視覚系、下丘＝聴覚系	認知脳科学 第03回_脳の基本的構造
認知脳科学::03_脳の基本的構造	小脳のニューロン数と、その主な機能は？	約500億個（大脳皮質は約220億個）。運動系の協調運動	認知脳科学 第03回_脳の基本的構造
認知脳科学::03_脳の基本的構造	末梢神経系の求心性と遠心性の違いは？	求心性＝感覚を中枢へ運ぶ、遠心性＝命令を末梢（筋肉など）へ運ぶ	認知脳科学 第03回_脳の基本的構造
認知脳科学::03_脳の基本的構造	自律神経系で、心拍数を高め瞳孔を拡大し消化を抑制するのはどちら？	交感神経系（興奮）。副交感神経系は逆に抑制的に働く	認知脳科学 第03回_脳の基本的構造
認知脳科学::03_脳の基本的構造	脳の進化で「多様」なのはどの部分、「保守的」なのはどの部分か？	前脳（大脳／終脳）が多様、中脳・後脳（小脳・橋）・視床/視床下部が保守的。哺乳類以外の大脳には新皮質がない	認知脳科学 第03回_脳の基本的構造
認知脳科学::03_脳の基本的構造	ニューロンで核や細胞小器官を含む「コントロールセンター」の部位は？	細胞体（cell body）	認知脳科学 第03回_脳の基本的構造
認知脳科学::03_脳の基本的構造	終末ボタン（terminal buttons）の役割は？	信号の出口。神経伝達物質を放出し、次の細胞（ニューロンや筋肉）へ伝える	認知脳科学 第03回_脳の基本的構造
認知脳科学::03_脳の基本的構造	解剖学的方向のうち、前後を表す一対の用語は？	吻側（rostral＝前方）と尾側（caudal＝後方）	認知脳科学 第03回_脳の基本的構造
認知脳科学::03_脳の基本的構造	上下方向を表す一対の解剖学的用語は？	背側（dorsal）と腹側（ventral）	認知脳科学 第03回_脳の基本的構造
認知脳科学::03_脳の基本的構造	終脳・間脳・中脳・菱脳に対応する脳室をそれぞれ挙げよ。	終脳＝側脳室（第1・第2）、間脳＝第3脳室、中脳＝中脳水道、菱脳＝第4脳室	認知脳科学 第03回_脳の基本的構造
認知脳科学::03_脳の基本的構造	中脳（Mesencephalon）を構成する2つの主要構造は？	中脳蓋（視蓋／Tectum）と被蓋（Tegmentum）	認知脳科学 第03回_脳の基本的構造
認知脳科学::03_脳の基本的構造	脳への血流が止まった場合の経過は？	1秒で血中酸素を全消費、6秒で気を失う、数分続くと損傷	認知脳科学 第03回_脳の基本的構造
認知脳科学::03_脳の基本的構造	脳室を満たしている液体は何か？	脳脊髄液	認知脳科学 第03回_脳の基本的構造
認知脳科学::03_脳の基本的構造	神経管はいつ頃（胚何日目頃）形成されるか？	20〜24日胚頃（神経溝・神経ひだが閉じて神経管になる）	認知脳科学 第03回_脳の基本的構造
認知脳科学::03_脳の基本的構造	大脳皮質のシワ（溝）・大きな溝・隆起部分をそれぞれ何と呼ぶ？	脳溝（sulcus）・大脳裂（fissure）・脳回（gyrus）	認知脳科学 第03回_脳の基本的構造
認知脳科学::03_脳の基本的構造	味覚・嗅覚を受け取る皮質領域は？	島皮質（insular cortex）	認知脳科学 第03回_脳の基本的構造
認知脳科学::03_脳の基本的構造	知覚・学習・記憶・計画など皮質の大部分を占める領域を何という？	連合野	認知脳科学 第03回_脳の基本的構造
認知脳科学::03_脳の基本的構造	海馬と乳頭体をつなぐ軸索束を何という？	脳弓（fornix）	認知脳科学 第03回_脳の基本的構造
認知脳科学::03_脳の基本的構造	大脳基底核を構成する3つの神経核は？	尾状核・被殻・淡蒼球	認知脳科学 第03回_脳の基本的構造
認知脳科学::03_脳の基本的構造	「投射」とはどういう意味か？	ある部位からある部位へシナプスを形成していること	認知脳科学 第03回_脳の基本的構造
認知脳科学::03_脳の基本的構造	視床の外側腹側核はどの経路を中継するか？	小脳→一次運動野	認知脳科学 第03回_脳の基本的構造
認知脳科学::03_脳の基本的構造	脳下垂体前葉・後葉から分泌される代表的ホルモンは？	前葉＝プロラクチン・成長ホルモン／後葉＝オキシトシン・バソプレッシン	認知脳科学 第03回_脳の基本的構造
認知脳科学::03_脳の基本的構造	中脳被蓋にある、発声の中枢とされる構造は？	中脳水道灰白質	認知脳科学 第03回_脳の基本的構造
認知脳科学::03_脳の基本的構造	橋（Pons）が関係する主な神経核の機能は？	睡眠覚醒に関係する	認知脳科学 第03回_脳の基本的構造
認知脳科学::03_脳の基本的構造	脳から出る脳神経は何対あるか？	12対	認知脳科学 第03回_脳の基本的構造
認知脳科学::03_脳の基本的構造	神経堤（Neural crest）は何に分化するか？	自律神経系の神経節など	認知脳科学 第03回_脳の基本的構造
認知脳科学::04_視覚I	感覚と知覚の違いは？	感覚＝神経系の細胞活動を介した物理的過程／知覚＝意識にのぼる、解釈を伴う過程（中枢神経系が必要）	認知脳科学 第04回_視覚I
認知脳科学::04_視覚I	可視光の波長範囲は？	380〜760 nm	認知脳科学 第04回_視覚I
認知脳科学::04_視覚I	光の色の3次元（HSV）とは？	色相（Hue＝波長）／彩度（Saturation＝純粋さ）／明度（Value＝強さ）	認知脳科学 第04回_視覚I
認知脳科学::04_視覚I	盲点にあたる、視細胞がない部位は？	視神経円盤（optic disk）	認知脳科学 第04回_視覚I
認知脳科学::04_視覚I	網膜の中心で視力が最も高い部位は？	中心窩（fovea）	認知脳科学 第04回_視覚I
認知脳科学::04_視覚I	桿体と錐体の機能的違いは？	桿体＝暗所・高感度・白黒・中心窩にない／錐体＝明所・色識別・中心窩にある	認知脳科学 第04回_視覚I
認知脳科学::04_視覚I	錐体3タイプと対応する色は？	S＝青（短波長）／M＝緑（中波長）／L＝赤（長波長）	認知脳科学 第04回_視覚I
認知脳科学::04_視覚I	コントラストを高める、水平細胞の働きは？	側抑制	認知脳科学 第04回_視覚I
認知脳科学::04_視覚I	光が当たると視細胞の膜電位と伝達物質はどうなる？	過分極（膜電位低下）。グルタメート放出が減る	認知脳科学 第04回_視覚I
認知脳科学::04_視覚I	神経節細胞で脳へ情報が伝わるとき発生するものは？	活動電位	認知脳科学 第04回_視覚I
認知脳科学::04_視覚I	ニューロンが網膜のどの範囲に反応するかを表す概念は？	受容野（receptive field）	認知脳科学 第04回_視覚I
認知脳科学::04_視覚I	中心視と周辺視で視力が違う理由は？	中心視は受容野が狭く視力が高い／周辺視は受容野が広く視力が低い	認知脳科学 第04回_視覚I
認知脳科学::04_視覚I	視覚経路を順に並べよ。	視神経→視交叉→外側膝状体(LGN)→一次視覚野(V1)→高次視覚野	認知脳科学 第04回_視覚I
認知脳科学::04_視覚I	視交叉で交叉するのは鼻側か耳側か？	内側（鼻側）が交叉して反対側へ。外側（耳側）は同側へ	認知脳科学 第04回_視覚I
認知脳科学::04_視覚I	瞳孔の対光反射に関わる経路は？	視蓋前野経路	認知脳科学 第04回_視覚I
認知脳科学::04_視覚I	サーカディアンリズム調整に関わる経路は？	視床下部経路	認知脳科学 第04回_視覚I
認知脳科学::04_視覚I	LGNで色情報を持たない系は？	大細胞系（小細胞系＝赤緑、顆粒細胞系＝青）	認知脳科学 第04回_視覚I
認知脳科学::04_視覚I	大細胞系と小細胞系の空間・時間解像度は？	大細胞系＝空間低・時間高（一過性）／小細胞系＝空間高・時間低（持続性）	認知脳科学 第04回_視覚I
認知脳科学::04_視覚I	V1のブロブは何に感受性を持つ？	色（インターブロブは方位・動き・空間周波数・両眼視差）	認知脳科学 第04回_視覚I
認知脳科学::04_視覚I	背側経路と腹側経路が担う認識は？	背側＝Where（位置・動き）／腹側＝What（形・色・大きさ）	認知脳科学 第04回_視覚I
認知脳科学::04_視覚I	ON型神経節細胞の反応は？	受容野中心部の光で興奮／周辺部で抑制	認知脳科学 第04回_視覚I
認知脳科学::04_視覚I	境界で明暗・色が強調される仕組みは？	側抑制（境界ではON発火に対し周辺OFF抑制が小さく興奮が増大）	認知脳科学 第04回_視覚I
認知脳科学::04_視覚I	色覚は視細胞と神経節細胞以降で何説か？	視細胞＝3原色説／神経節細胞以降＝反対色説	認知脳科学 第04回_視覚I
認知脳科学::04_視覚I	反対色の3ペアは？	赤↔緑・青↔黄・白↔黒	認知脳科学 第04回_視覚I
認知脳科学::04_視覚I	Coneにない黄が原色に感じるのはなぜ？	黄を初期段階（神経節細胞レベル）で定義・計算するため	認知脳科学 第04回_視覚I
認知脳科学::04_視覚I	負の残像で見えるものと、その原因は？	補色が見える。網膜神経節細胞の発火頻度の順応（興奮→リバウンド抑制）	認知脳科学 第04回_視覚I
認知脳科学::04_視覚I	視神経は末梢神経・中枢神経のどちらに分類されるか？	脳神経12対の一つ（末梢神経）だが、中枢神経系に分類されることもある（脳の一部とも言われる）	認知脳科学 第04回_視覚I
認知脳科学::04_視覚I	網膜において光は視細胞にどのように届くか？	網膜を奥まで通り抜けてから視細胞に届く（視細胞は一番奥にある）	認知脳科学 第04回_視覚I
認知脳科学::04_視覚I	網膜で時間処理を担い、遅延回路として時間変化を符号化する細胞は？	アマクリン細胞	認知脳科学 第04回_視覚I
認知脳科学::04_視覚I	双極細胞は、視細胞からの伝達物質が減るとどうなるか？	膜電位が上昇（脱分極）し、シナプスから伝達物質を多量放出する	認知脳科学 第04回_視覚I
認知脳科学::04_視覚I	LGNの6層のうち、反対側・同側から入力を受けるのはそれぞれ何層か？	反対側＝1,4,6層／同側＝2,3,5層	認知脳科学 第04回_視覚I
認知脳科学::04_視覚I	LGNの大細胞層・小細胞層は6層のどこに位置するか？	内側の2層（1,2）＝大細胞層／外側の4層（3–6）＝小細胞層	認知脳科学 第04回_視覚I
認知脳科学::04_視覚I	V1のニューロン数とモジュール数はおよそいくつか？	約15万個のニューロンが約2500のモジュールに分類される	認知脳科学 第04回_視覚I
認知脳科学::04_視覚I	V1のブロブは何という染色法で染まるか？	チトクロームオキシダーゼ（CO）染色	認知脳科学 第04回_視覚I
認知脳科学::04_視覚I	ブロブはV1とV2でそれぞれどのような形で存在するか？	V1ではスポット状、V2では縞状	認知脳科学 第04回_視覚I
認知脳科学::04_視覚I	眼球運動や注意の制御に関わる視覚経路は？	上丘（SC）経路	認知脳科学 第04回_視覚I
認知脳科学::04_視覚I	青錐体・桿体・緑錐体・赤錐体の吸収ピーク波長は？	青錐体419 / 桿体496 / 緑錐体531 / 赤錐体559 nm	認知脳科学 第04回_視覚I
認知脳科学::04_視覚I	色情報を扱う神経節細胞の反対色ペア2種類は？	赤-緑型と黄-青型	認知脳科学 第04回_視覚I
認知脳科学::04_視覚I	黄はどのように処理・伝達されるか？	赤と緑のConeを同程度刺激し、赤-緑型は相殺、黄-青型を興奮させて黄を伝達	認知脳科学 第04回_視覚I
認知脳科学::04_視覚I	負の残像でリバウンド効果が起きる前、細胞はどのくらい興奮・抑制されるか？	長時間（〜30秒）	認知脳科学 第04回_視覚I
認知脳科学::04_視覚I	OFF型神経節細胞の反応は？	受容野周辺部の光で興奮／中心部の光で抑制	認知脳科学 第04回_視覚I
認知脳科学::04_視覚I	ON/OFF型神経節細胞の反応は？	光がついた時（ON）と消えた時（OFF）に一過性の反応	認知脳科学 第04回_視覚I
認知脳科学::04_視覚I	色知覚において小細胞系・顆粒細胞系と大細胞系はそれぞれWhat/Whereのどちらか？	小細胞系・顆粒細胞系＝What（波長情報）／大細胞系＝Where（明暗・動き）	認知脳科学 第04回_視覚I
認知脳科学::05_視覚II	V1のニューロンが最もよく反応する視覚刺激は何か？	特定の空間周波数・特定位置に呈示された正弦波格子（sine-wave grating）。エッジ・線分にも応答するが格子に最も強く反応する。	認知脳科学 第05回_視覚II
認知脳科学::05_視覚II	空間周波数とは何を表す量か？	視角1度あたりに何周期の明暗変化があるか。物体に近づくと受容野あたりの繰り返しが増え、遠くなると減るため距離情報にも使える。	認知脳科学 第05回_視覚II
認知脳科学::05_視覚II	ブロック化されたリンカーン画像をぼかすと顔とわかりやすくなるのはなぜか？	顔知覚の大局的情報は低周波数が担い、格子のエッジ（高周波数）はノイズ。高周波を除くと本質的な低周波情報が残るため。	認知脳科学 第05回_視覚II
認知脳科学::05_視覚II	奥行き知覚を失う『奥行きのない視覚』は、脳のどこの損傷で起こるか？	頭頂後頭葉にかけての背側経路（V1以降）、特に鳥距溝（calcarine sulcus）周辺の損傷。	認知脳科学 第05回_視覚II
認知脳科学::05_視覚II	廊下錯視で奥の球が大きく見えるとき、fMRIで観察される脳活動は？	網膜像（物理量）は同じでも、大きく見えると感じている時にV1の活動が大きくなる。V1が高次視覚連合野からの入力で変化する例（Murray 2006）。	認知脳科学 第05回_視覚II
認知脳科学::05_視覚II	頭頂間溝（IPS）の5領域とそれぞれの主機能を挙げよ。	AIP(前部)=把握・手運動制御、LIP(外側)=注意・急速眼球運動、VIP(腹部)=注意・急速眼球運動、CIP(後部)=奥行き知覚、MIP(内側)=把握・手運動制御。	認知脳科学 第05回_視覚II
認知脳科学::05_視覚II	方位選択性とは何か？ Hubel & Wieselの例では何に最も応答したか？	V1ニューロンが特定の傾き（方位）の線分にのみ発火する性質。例では垂直の線分に最もよく応答した。	認知脳科学 第05回_視覚II
認知脳科学::05_視覚II	単純細胞・複雑細胞・超複雑細胞の違いは？	単純細胞=特定方位かつ特定位置で興奮、複雑細胞=位置がずれても同方位なら興奮、超複雑細胞=長さや端などより複雑な条件に応答。	認知脳科学 第05回_視覚II
認知脳科学::05_視覚II	動きの符号化を担う高次視覚野はどこか？ どの経路に属するか？	V5（＝MT野）。背側経路に属し、上丘からの入力を受け眼球運動制御・動きの追跡と関連する。	認知脳科学 第05回_視覚II
認知脳科学::05_視覚II	オプティックフローとは何か？ 前進・横向き・首を傾けた時の流れの型は？	自己運動で景色全体が流れるパターン。前進＝放射状、横向き＝平行（手前速く奥ゆっくり）、首を傾ける＝回転の流れ。	認知脳科学 第05回_視覚II
認知脳科学::05_視覚II	オプティックフローの拡張中心（FOE）は何の知覚に使われるか？	自己運動知覚（Heading）。流れが湧き出す中心点＝FOE（Focus of Expansion）から自分の進行方向を正確に知る。	認知脳科学 第05回_視覚II
認知脳科学::05_視覚II	運動盲（akinetopsia）はどこの損傷で起こり、どんな症状か？	V5/MTの損傷。動きが滑らかに見えず『止まっていたものが突如バウンドする』ようにコマ送りで知覚され、車の速度判断などができなくなる。	認知脳科学 第05回_視覚II
認知脳科学::05_視覚II	バイオロジカルモーションの知覚に関わる脳領域は？	MTが複数要素の一致した運動・運動境界を知覚し、上側頭溝（STS）も応答する（腹側経路・Whatの『生物だ』の処理）。	認知脳科学 第05回_視覚II
認知脳科学::05_視覚II	視覚失認（visual agnosia）とはどのような症例か？	「見えているが、わからない」症例。りんごの色や形はわかり模写もできるが「りんごである」と同定できない。連合型はV1の一部損傷でも起こる。	認知脳科学 第05回_視覚II
認知脳科学::05_視覚II	相貌失認（prosopagnosia）とは何か？ どの経路の障害か？	顔を見ていることはわかるが『誰の顔か』がわからない視覚失認。腹側経路の一部の障害とされ、検査では顔条件の成績だけが困難になる。	認知脳科学 第05回_視覚II
認知脳科学::05_視覚II	紡錘状回顔領域（FFA）はどこにあり、何に活動するか？	側頭葉基底部にあり、顔の特定ターゲット検出でも顔カテゴリ検出でも活動性が高い。隣接するEBA/FBAは身体（の一部）に強く反応する。	認知脳科学 第05回_視覚II
認知脳科学::05_視覚II	『状況が顔を推定させる』とはどのような現象か（Cox 2004）？	顔とボカした顔が身体の上（肩の間）＝『顔の位置』にあるとFFAが活動する。文脈によって物体特異的応答が引き起こされる。	認知脳科学 第05回_視覚II
認知脳科学::05_視覚II	顔選択性が進化的に遡れることを示す証拠は？	アカゲザルのFFAに顔選択性細胞だけで構成される皮質領域が存在する（Tsao et al. 2006）。サルとヒトでカテゴリ特化領域が相同的に配置される。	認知脳科学 第05回_視覚II
認知脳科学::05_視覚II	背側経路と腹側経路への分岐は、視覚処理のどの段階から始まるか？	V1→V2から処理が始まり、V2以降で2経路に分岐する。V1→V2→V3→…と段階的に進む。	認知脳科学 第05回_視覚II
認知脳科学::05_視覚II	皮質の図で明るいグレーと暗いグレーは、それぞれ何を表すか？	明るいグレー＝回（gyrus）、暗いグレー＝溝（sulcus）。溝を広げて描いてある。図のA/B＝サルの視覚応答、C＝ヒトのfMRI。	認知脳科学 第05回_視覚II
認知脳科学::05_視覚II	廊下錯視のV1活動を示したMurray 2006の掲載誌と共著者は？	Nature Neuroscience。Murray, Boyaci & Kersten（2006）。	認知脳科学 第05回_視覚II
認知脳科学::05_視覚II	オプティックフローが与える『奥行きと立体感（Structure from Motion）』とは？	速く流れるものは近く・遅く流れるものは遠くと判断し、速度差から景色の凹凸・立体を把握する。	認知脳科学 第05回_視覚II
認知脳科学::05_視覚II	オプティックフローによる衝突回避はどう計算されるか？	目標物が拡大してくる速さから、ぶつかるまでの時間（time to collision）を計算する。	認知脳科学 第05回_視覚II
認知脳科学::05_視覚II	Grossman et al.(2000)でバイオロジカルモーションとスクランブルを比べたとき、差があった要素は？	要素の運動量＝差なし、境界的要素＝差あり、要素間の同期性＝差あり、全体の動き＝差なし。MTが一致運動・運動境界を知覚する。	認知脳科学 第05回_視覚II
認知脳科学::05_視覚II	模写はできるが何を描いたか答えられない連合型視覚失認を報告した文献は？	Rubens & Benson（1971, Associative visual agnosia）。V1の一部損傷で起こる。	認知脳科学 第05回_視覚II
認知脳科学::05_視覚II	顔はわかるが物がわからない（物体失認）の事例を示した研究と例題は？	Moscovitch, Winocur & Behrmann（1997）。アルチンボルドの絵を用い、顔処理と物体処理が部分的に分離することを示した。	認知脳科学 第05回_視覚II
認知脳科学::05_視覚II	相貌失認の検査（Farah, Levinson & Klein 1995）の課題内容は？	上の画像と同じもの／角度の変わった画像から選ぶ課題。顔条件で成績が困難になり、物体条件は比較的保たれる。	認知脳科学 第05回_視覚II
認知脳科学::05_視覚II	顔特化領域を探るGrill-Spector, Knouf & Kanwisher(2004)の3課題は？	①ターゲットを検出、②同一カテゴリかを検出、③テクスチャを検出。この間の脳活動をfMRIで計測した。	認知脳科学 第05回_視覚II
認知脳科学::05_視覚II	EBA/FBAを同定する実験で用いた刺激カテゴリは？	顔／さまざまな物体／頭部のない身体／身体の一部。FFAは顔に、EBAは身体（の一部）に強く反応した。	認知脳科学 第05回_視覚II
認知脳科学::05_視覚II	Bell et al.(2009)のカテゴリ地図で、赤・黄・緑・青は何を表すか？	赤＝顔、黄＝身体の一部、緑＝物体、青＝風景。Monkey E/Monkey J/Humanで相同的な配置が見られた。	認知脳科学 第05回_視覚II
認知脳科学::05_視覚II	Tsao et al.(2006)がサルFFAの顔選択性を調べた際の刺激カテゴリは？	Faces / Bodies / Fruits / Gadgets / Hands / Scram。顔に強く応答する細胞だけで構成される皮質領域が存在した。	認知脳科学 第05回_視覚II
認知脳科学::05_視覚II	顔知覚において大局的情報と細部は、それぞれどの空間周波数が担うか？	大局的情報＝低周波数（顔の認識に関与）、細部＝高周波数。高周波を除くと本質的な低周波情報が残り顔とわかりやすい。	認知脳科学 第05回_視覚II
認知脳科学::05_視覚II	背側経路を『Where』でなくどう捉える方が適切という意見があるか？	『What を how（どのように扱うか）』と捉える方が適切、という意見がある。	認知脳科学 第05回_視覚II
認知脳科学::07_聴覚I	音とは物理的に何か？	空気の粗密波（縦波）。空気分子の疎と密が繰り返し伝わる振動。	認知脳科学 第07回_聴覚I
認知脳科学::07_聴覚I	音の3要素と、それぞれ何で決まるかを答えよ。	高さ(pitch)＝振動の周波数／大きさ(loudness)＝振幅の大きさ(強さ)／音色(timbre)＝複合音の周波数成分の構成。	認知脳科学 第07回_聴覚I
認知脳科学::07_聴覚I	音色（timbre）とは何によって変わる性質か？	複合音の周波数成分の構成。例：フルートの音、鳥のさえずり。	認知脳科学 第07回_聴覚I
認知脳科学::07_聴覚I	中耳の耳小骨3つを、音が伝わる順に答えよ。	ツチ骨(Malleus)→キヌタ骨(Incus)→アブミ骨(Stapes)。	認知脳科学 第07回_聴覚I
認知脳科学::07_聴覚I	耳小骨は何の原理で振動を増幅するか？その役割は？	テコの原理。小さな空気振動の圧力を増幅し、蝸牛リンパ液へ大きな振幅として伝える。	認知脳科学 第07回_聴覚I
認知脳科学::07_聴覚I	音の伝播の概略5段階を答えよ。	1.音が到来 2.耳小骨で振幅の増幅 3.蝸牛のリンパ液へ振動伝達 4.神経発火 5.聴神経へ電気信号の伝送。	認知脳科学 第07回_聴覚I
認知脳科学::07_聴覚I	コルチ器（Organ of Corti）とは何か？	内耳の蝸牛にある、音を感じ取る中心的な器官。リンパ液の振動を電気信号に変換し脳へ伝送する。	認知脳科学 第07回_聴覚I
